term,freq
xml,5
left,5
rs.getstring,5
byte,5
swap,5
retlist,5
linkedlist,5
bookdetails,5
commentstr1,5
numberofcolumns,5
rs.next,5
path,5
dataoutputstream,5
listener,5
resolveinfo,5
getname,5
thread,5
fstream,5
columnnames,5
cascadetype.all,5
definition,5
wefoundit,5
httpsession,5
responseentity,5
first,5
public,5
artifactid,5
firstoccurrence,5
org.apache.tiles,5
ret,5
einstein,5
30.0,5
lines,5
newset.add,5
number,5
s.substring,5
myobj2,5
myobj1,5
100.0,5
0.1,5
minmax,5
show,5
description,5
factor,5
when,5
case,5
item,5
lowest,5
jsonobject,5
imageicon,5
bar,5
br,5
image,5
fos,5
class,5
go,5
model,5
dependency,5
request.getsession,5
polygon,5
m1.keyset,5
switch,5
s1,5
18.0,5
groupid,5
param,5
cols,5
query.charat,5
sqlexception,5
integer.tostring,5
elements,5
listnode,5
success,6
doublequotelevel,6
comparison,6
stringwriter,6
strline,6
hearingtype,6
slowesttime,6
it.next,6
lot,6
sb.append,6
couplefind,6
os.contains,6
sb.tostring,6
division,6
delete,6
system.in,6
collection,6
books,6
m.group,6
it.hasnext,6
version,6
guess,6
node.getuserobject,6
mypoints,6
elementdata,6
datainputstream,6
setcontentview,6
lineremove,6
buffer,6
words.length,6
c.get,6
book,6
whereweare,6
dict,6
jlabel,6
as,6
size.contains,6
joincolumn,6
counter,6
obj,6
is,6
sng,6
key1,6
key2,6
split,6
student,6
of,6
log.d,6
rs,6
sw,6
we,6
out,6
lotnumber,6
joptionpane.showmessagedialog,7
address,7
tempheader,7
reader,7
findviewbyid,7
names,7
result.append,7
fileoutputstream,7
document,7
e.printstacktrace,7
list.add,7
trim,7
filewriter,7
20.0,7
info,7
static,7
bitset,7
unique,7
word,7
input.length,7
ioexception,7
label,7
daysmap.put,7
next,7
current.getnext,7
getx,7
gety,7
worda,7
wordb,7
75.0,7
log.e,7
columns,7
inputstreamreader,7
intent,7
fragment,7
size,8
layout_width,8
tmpwordb,8
tmpworda,8
temp_arr,8
parser.getvalue,8
casenumber,8
text,8
randomnum,8
textview,8
jtable,8
cascade,8
12.0,8
secondpass,8
revised,8
printwriter,8
end,8
defaultmutabletreenode,8
display,8
layout_height,8
ex,8
replaceall,8
caseprefix,8
arrays.aslist,8
getcurrentlocation,8
actionlistener,8
customerinvoicesdto,8
dos.writebytes,8
vector,8
key,8
centerpanel.add,8
location,8
state,9
items,9
newstring,9
map.put,9
page,9
tail,9
instanceof,9
prefixlarge,9
double,9
getid,9
defaulttablemodel,9
sb,9
tmp,10
worddulicate.add,10
prev,10
point,10
hashmap,10
add,10
arr,10
stringbuilder,10
insert,10
at,10
labelindex,10
whitelist,10
date,10
category,10
throw,11
hashset,11
col,11
7.0,11
header,11
prefix,11
buttonindex,11
g.fillrect,11
it,11
put-attribute,11
line,11
len,12
element,12
fileinputstream,12
length,12
secondcopied,12
firstcopied,12
rewritingnode,12
system.out.print,12
tostring,12
user,12
set,12
person,12
winner,13
start,13
char,13
currentnode,13
mid,13
random,13
suffix,13
exception,14
row,14
35.0,14
current,14
to,14
in,15
break,15
data,15
10.0,16
input,16
map,16
filename,16
stringbuffer,16
count,17
5.0,17
head,17
words,18
object,19
bufferedreader,19
button,19
remove,20
scanner,20
test,20
4.0,20
grid,20
id,20
rectangle,20
the,21
-1.0,22
this,23
override,24
url,24
equals,24
final,26
iterator,27
catch,28
try,29
boolean,29
temp,31
value,32
3.0,33
str,34
integer,35
result,36
index,36
file,39
node,42
2.0,46
android,47
name,52
list,59
true,60
while,68
arraylist,71
false,71
system.out.println,94
else,101
1.0,135
null,148
for,167
return,181
int,236
string,275
if,325
new,399
0.0,598
